Ruta,Subruta,tipo de Ruta,Parada,Latitud,Longitud
10,Ahuehuetes - Los Juanes (Atizapán de Zaragoza),Inicial,Base de combis los Juanes,19.555356,-99.242203
10,Ahuehuetes - Los Juanes (Atizapán de Zaragoza),Final,Ahuehuetes,19.534969,-99.172936
16,Metro 4 caminos - Calvario Calacoaya por Lomas Verdes,Inicial,El calvario,19.529931,-99.251911
16,Metro 4 caminos - Calvario Calacoaya por Lomas Verdes,Intermedia,Parque Naucalli,19.490872,-99.243158
16,Metro 4 caminos - Calvario Calacoaya por Lomas Verdes,Final,Metro 4 Caminos,19.461286,-99.214861
16,Metro 4 caminos - Calvario Calacoaya por Ahuizotla,Final,Metro 4 Caminos,19.4595064,-99.2171403
16,Metro 4 caminos - Calvario Calacoaya por Ahuizotla,Intermedia,Parque Naucalli,19.4919456,-99.2367184
16,Metro 4 caminos - Calvario Calacoaya por Ahuizotla,Intermedia,Plaza Satélite,19.510978,-99.235769
16,Metro 4 caminos - Calvario Calacoaya por Ahuizotla,Inicial,El calvario,19.529931,-99.251911
16,10 de abril - Calvario Calacoaya,Inicial,10 de abril,19.491492,-99.218528
16,10 de abril - Calvario Calacoaya,Intermedia,Plaza Satélite,19.510978,-99.235769
16,10 de abril - Calvario Calacoaya,Final,El calvario,19.529931,-99.251911
22,México 86 - Tlanepantla,Inicial,México 86,19.590333,-99.247836
22,México 86 - Tlanepantla,Intermedia,Bodegas Atizapán,19.568878,-99.253122
22,México 86 - Tlanepantla,Final,Palacio Municipal Atizapán,19.577928,-99.230231
22,México 86 - Tlanepantla,Tlanepantla,19.536225,-99.196728
22,México 86 - Metro 4 Caminos por Satélite,Inicial,México 86,19.590333,-99.247836
22,México 86 - Metro 4 Caminos por Satélite,Intermedia,Bodegas Atizapán,19.568878,-99.253122
22,México 86 - Metro 4 Caminos por Satélite,Intermedia,Palacio Municipal Atizapán,19.577928,-99.230231
22,México 86 - Metro 4 Caminos Por Satélite,Intermedia,Plaza Satélite,19.5118634,-99.2358808
22,México 86 - Metro 4 Caminos por Satélite,Intermedia,Parque Naucalli,19.4940822,-99.2371288
22,México 86 - Metro 4 Caminos por Satélite,Intermedia,Toreo,19.453689,-99.219717
22,México 86 - Metro 4 Caminos por Satélite,Final,Metro 4 Caminos,19.461286,-99.214861
22,México 86 - Metro 4 Caminos por Bachilleres,Inicial,México 86,19.590333,-99.247836
22,México 86 - Metro 4 Caminos por Bachilleres,Intermedia,Nissan Atizapán,19.548583,-99.238558
22,México 86 - Metro 4 Caminos por Bachilleres,Intermedia,Plaza Satélite,19.5118634,-99.2358808
22,México 86 - Metro 4 Caminos por Bachilleres,Intermedia,Parque Naucalli,19.4940822,-99.2371288
22,México 86 - Metro 4 Caminos por Bachilleres,Intermedia,Bachilleres,19.4851703,-99.2084008
22,México 86 - Metro 4 Caminos por Bachilleres,Intermedia,Parque Bicentenario,19.4709438,-99.2067172
22,México 86 - Metro 4 Caminos por Bachilleres,Intermedia,Panteón Español,19.4627358,-99.2125993
22,México 86 - Metro 4 Caminos por Bachilleres,Final,Metro 4 Caminos,19.4595064,-99.2171403
25,Metro Observatorio - Lomas de Atizapán,Inicial,Metro Observatorio,19.398353,-99.1959
25,Metro Observatorio - Lomas de Atizapán,Intermedia,Defensa,19.4415099,-99.215322
25,Metro Observatorio - Lomas de Atizapán,Intermedia,Toreo,19.453689,-99.219717
25,Metro Observatorio - Lomas de Atizapán,Intermedia,Plaza Satélite,19.510978,-99.235769
25,Metro Observatorio - Lomas de Atizapán,Intermedia,Atizapán Palacio Municipal,19.5436906,-99.234334
25,Metro Observatorio - Lomas de Atizapán,Final,Lomas de Atizapán,19.554292,-99.262233
