Nombre de rutas,Paradas,longuitud,latitud
Metro Observatorio - Lomas de Atizapán,Metro Observatorio,"19°23'54.07""N","99°11'45.24""W"
,Defensa,"19°26'26.27""N","99°12'52.35""W"
,Toreo,"19°27'13.28""N","99°13'10.98""W"
,Plaza Satélite,"19°30'39.52""N","99°14'08.77""W"
,Atizapán Palacio Municipal,"19°32'35.42""N","99°14'06.35""W"
,Lomas de Atizapán,"19°33'15.45""N","99°15'44.04""W"

Metro Observatorio - Lomas de las torres,Metro observatorio,"19°23'54.07""N","99°11'45.24""W"
,Defensa,"19°26'26.27""N","99°12'52.35""W"
,Toreo,"19°27'13.28""N","99°13'10.98""W"
,Plaza Satélite,"19°30'39.52""N","99°14'08.77""W"
,Lomas lindas,"19°34'34.83""N","99°15'30.48""W"
,Lomas de las torres,"19°35'34.78""N","99°15'40.14""W"

Metro Observatorio - Tecnologico,Metro observatorio,"19°23'54.07""N","99°11'45.24""W"
,Defensa,"19°26'26.27""N","99°12'52.35""W"
,Toreo,"19°27'13.28""N","99°13'10.98""W"
,Plaza Satélite,"19°30'39.52""N","99°14'08.77""W"
,Arboledas,"19°34'03.88""N","99°13'25.48""W"
,Tecnologico,"19°35'50.11""N","99°13'37.23""W"

Metro Observatorio - Tlanepantla,Metro observatorio,"19°23'54.07""N","99°11'45.24""W"
,Defensa,"19°26'26.27""N","99°12'52.35""W"
,Toreo,"19°27'13.28""N","99°13'10.98""W"
,Plaza Satélite,"19°30'39.52""N","99°14'08.77""W"
,Tlanepantla,"19°32'10.41""N","99°11'48.22""W"

Metro Observatorio - COL- Las aguilas,Metro observatorio,"19°23'54.07""N","99°11'45.24""W"
,Defensa,"19°26'26.27""N","99°12'52.35""W"
,Toreo,"19°27'13.28""N","99°13'10.98""W"
,Plaza Satélite,"19°30'39.52""N","99°14'08.77""W"
,Nissan Atizapán,"19°32'54.90""N","99°14'18.81""W"
,Bodegas Atizapán,"19°34'07.96""N","99°15'11.24""W"
,Col. Las aguilas,"19°34'50.29""N","99°14'58.54""W"

Col. Huguera - Tlanepantla,Col. Huguera,"19°34'31.90""N","99°14'29.67""W"
,Cruz Roja Atizapán,"19°33'53.17""N","99°14'36.50""W"
,Nissan Atizapán,"19°32'54.90""N","99°14'18.81""W"
,Centro comercial sentura,"19°32'23.77""N","99°12'59.47""W"
,Tlanepantla,"19°32'10.41""N","99°11'48.22""W"

Zona 7 México nuevo - Tlanepantla,Zona 7 México nuevo,"19°33'41.88""N","99°16'00.33""W"
,Plaza Centro Atizapán,"19°33'18.72""N","99°16'04.31""W"
,Nissan Atizapán,"19°32'54.90""N","99°14'18.81""W"
,Centro comercial sentura,"19°32'23.77""N","99°12'59.47""W"
,Tlanepantla,"19°32'10.41""N","99°11'48.22""W"

Lazaro Cardenas - Tlanepantla,Lazaro Cardenas,"19°34'31.90""N","99°14'29.67""W"
,Ahuehuetes,"19°32'05.89""N","99°10'22.57""W"
,San Andres,"19°32'26.85""N ","99°12'57.61""W"
,Tlanepantla,"19°32'10.41""N","99°11'48.22""W"

Calacoaya - Tlanapantla,Calacoaya,"19°31'57.06""N ","99°14'39.64""W"
,Av. de la pierda,"19°32'25.90""N ","99°14'16.14""W"
,Manzana 022,"19°31'40.74""N ","99°13'23.76""W"
,Tlanepantla,"19°32'10.41""N","99°11'48.22""W"

Amplición Higuera - Tlanepantla,Amplición Higuera,"19°34'31.90""N","99°14'29.67""W"
,Club de Golf Hacienda,"19°34'19.09""N","99°13'37.10""W"
,Nissan Atizapán,"19°32'54.90""N","99°14'18.81""W"
,Centro comercial sentura,"19°32'23.77""N","99°12'59.47""W"
,Tlanepantla,"19°32'10.41""N","99°11'48.22""W"

Bodegas Atizapán - Monte sol,Bodegas Atizapán,"19°34'07.96""N","99°15'11.24""W"
,Nissan Atizapán,"19°32'54.90""N","99°14'18.81""W"
,Club de Golf Hacienda,"19°34'19.09""N","99°13'37.10""W"
,Monte sol,"19°34'57.95""N ","99°13'41.02""W"

Mexico Nuevo - Central de abastos Atizapán,Zona 1 Mexico nuevo,"19°33'50.79""N ","99°15'48.62""W"
,Lomas Lindas,"19°34'48.49""N ","99°15'15.64""W"
,Zona 5,"19°34'59.33""N ","99°14'41.75""W"
,Bodegas Atizapán,"19°34'07.96""N","99°15'11.24""W"
,Central de abastos Atizapán,"19°34'09.10""N ","99°15'03.16""W"
