Lugar ,Longitud ,Latitud,Categoria 
Parque Naucalli,"19°29'33.70""N ","99°14'25.38""W",Parque
Paque Tezozómoc,"19°29'57.22""N ","99°12'35.24""W",Parque
panteon san isidro,"19°29'15.72""N ","99°12'46.95""W",Panteon
plaza toreo,"19°27'14.57""N ","99°13'08.55""W",centro comercial
panteon español,"19°27'47.03""N","99°12'26.43""W",Panteon
plaza mundo e,"19°31'29.90""N ","99°13'42.53""W",centro comercial
centro comercial sentura,"19°32'24.01""N ","99°12'54.90""W",centro comercial
club de golf hacienda,"19°34'06.52""N ","99°13'48.90""W",parque
hospital general atizapan,"19°32'46.55""N ","99°14'14.98""W",hospital
hospital regional n. 72,"19°32'38.39""N ","99°12'17.74""W",hospital
alameda luisa isabel campos,"19°33'43.09""N ","99°14'46.35""W",parque
centro de salud san andres atenco,"19°32'38.26""N ","99°13'23.15""W",hospital
deportivo zaragoza,"19°34'25.10""N ","99°14'24.59""W",parque
centro de especialidades san patricio,"19°33'25.63""N ","99°16'04.27""W",hospital
santuario de patos calacoaya,"19°31'39.32""N ","99°14'55.17""W",parque
hospital san jose satelite,"19°31'07.88""N ","99°14'33.48""W",hospital
circuito parque,"19°30'46.69""N ","99°14'12.29""W",parque
corporativo hospital satelite,"19°30'48.95""N ","99°14'14.85""W",hospital
hospital materno imss,"19°35'50.01""N ","99°15'46.62""W",hospital
hospital de traumatologia imss,"19°29'16.33""N ","99°14'16.65""W",hospital
